Custom,0000,tbd,no unit,,,,,,,,,,,
Custom,0000,no activity of this subscope in the reporting year,no unit,,,,,,,,,,,
Custom,0000,specific emission from separate assessment, kg CO2e,1.0000,,,,,,,,,,
Custom,0000,data not availailable/ missing in reporting year,no unit,,,,,,,,,,,
Custom,0000,included in other subscope category,no unit,,,,,,,,,,,
Custom,0000,total emission of this subscope see adjacent for further description,no unit,,,,,,,,,,,
Custom,0000,no emissions according to GHGP or ISO14064-1,no unit,,,,,,,,,,,
Custom,0000,emissions with this subscope negligible, tbd,no unit,,,,,,,,,,,
Custom,0000,included in other business unit,no unit,,,,,,,,,,,
Custom,2021, Expenses, BIP, €,0.2603,,,,,,,,,,
Client, 2022, Electricity, purchased in reporting year by reporting company, MWh,280.0000,,,,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Butane, Energy - Gross CV, kWh (Gross CV),0.2224,0.2221,0.0002,0.0001,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, Natural gas, Energy - Net CV, kWh (Net CV),0.2043,0.2039,0.0003,0.0001,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, Natural gas, Energy - Net CV, kWh (Net CV),0.2044,0.2040,0.0003,0.0001,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Natural gas, Tonnes, t,2539.2500,2534.4700,3.4400,1.3400,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Natural gas, Tonnes, t,2538.4800,2533.6900,3.4400,1.3400,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, Natural gas, Tonnes, t,2533.0000,2528.2600,3.4000,1.3300,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, Natural gas, Tonnes, t,2542.0400,2537.3600,3.3400,1.3400,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, Natural gas, Tonnes, t,2746.6300,2741.5600,3.6300,1.4400,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Natural gas, Energy - Net CV, kWh (Net CV),0.2023,0.2019,0.0003,0.0001,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Natural gas, Volume, cubic metres,2.0214,2.0175,0.0027,0.0011,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, Natural gas, Volume, cubic metres,2.0227,2.0189,0.0027,0.0011,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, Natural gas, Volume, cubic metres,2.0305,2.0268,0.0027,0.0011,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, Natural gas, Volume, cubic metres,2.0465,2.0428,0.0027,0.0011,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Natural gas (100% mineral blend), Volume, cubic metres,2.0316,2.0277,0.0027,0.0011,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Natural gas (100% mineral blend), Energy - Gross CV, kWh (Gross CV),0.1844,0.1840,0.0003,0.0001,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, Natural gas (100% mineral blend), Energy - Gross CV, kWh (Gross CV),0.1846,0.1842,0.0003,0.0001,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, Natural gas (100% mineral blend), Energy - Gross CV, kWh (Gross CV),0.1844,0.1841,0.0002,0.0001,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Natural gas (100% mineral blend), Energy - Gross CV, kWh (Gross CV),0.1840,0.1836,0.0003,0.0001,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Natural gas (100% mineral blend), Energy - Net CV, kWh (Net CV),0.2043,0.2039,0.0003,0.0001,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, Natural gas (100% mineral blend), Energy - Net CV, kWh (Net CV),0.2045,0.2041,0.0003,0.0001,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, Natural gas (100% mineral blend), Energy - Net CV, kWh (Net CV),0.2049,0.2046,0.0003,0.0001,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Natural gas (100% mineral blend), Tonnes, t,2559.1700,2554.3900,3.4400,1.3400,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Natural gas (100% mineral blend), Tonnes, t,2555.2800,2550.4900,3.4400,1.3400,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, Natural gas (100% mineral blend), Tonnes, t,2542.4100,2537.6800,3.4000,1.3300,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, Natural gas (100% mineral blend), Tonnes, t,2550.0400,2545.3700,3.3400,1.3400,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Natural gas (100% mineral blend), Energy - Net CV, kWh (Net CV),0.2039,0.2035,0.0003,0.0001,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Natural gas (100% mineral blend), Volume, cubic metres,2.0347,2.0309,0.0027,0.0011,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, Natural gas (100% mineral blend), Volume, cubic metres,2.0302,2.0264,0.0027,0.0011,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, Natural gas (100% mineral blend), Volume, cubic metres,2.0369,2.0332,0.0027,0.0011,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Other petroleum gas, Energy - Gross CV, kWh (Gross CV),0.1832,0.1831,0.0001,0.0001,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Other petroleum gas, Energy - Gross CV, kWh (Gross CV),0.1832,0.1831,0.0001,0.0001,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, Other petroleum gas, Energy - Gross CV, kWh (Gross CV),0.1849,0.1847,0.0001,0.0001,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, Other petroleum gas, Energy - Gross CV, kWh (Gross CV),0.1855,0.1853,0.0001,0.0001,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, Other petroleum gas, Energy - Gross CV, kWh (Gross CV),0.1840,0.1839,0.0001,0.0001,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Other petroleum gas, Energy - Net CV, kWh (Net CV),0.1992,0.1990,0.0001,0.0001,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Other petroleum gas, Energy - Net CV, kWh (Net CV),0.1992,0.1990,0.0001,0.0001,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, Other petroleum gas, Energy - Net CV, kWh (Net CV),0.2009,0.2007,0.0001,0.0001,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, Other petroleum gas, Energy - Net CV, kWh (Net CV),0.2016,0.2015,0.0001,0.0001,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, Other petroleum gas, Energy - Net CV, kWh (Net CV),0.2001,0.1999,0.0001,0.0001,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Other petroleum gas, Tonnes, t,2578.2500,2575.7000,1.1700,1.3900,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Other petroleum gas, Tonnes, t,2578.2500,2575.7000,1.1700,1.3900,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, Other petroleum gas, Tonnes, t,2601.1100,2598.5600,1.1700,1.3900,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, Other petroleum gas, Tonnes, t,2610.2600,2607.7100,1.1700,1.3900,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, Other petroleum gas, Tonnes, t,2589.6000,2587.0400,1.1700,1.3900,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Other petroleum gas, Volume, litres,0.9444,0.9435,0.0004,0.0005,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Other petroleum gas, Volume, litres,0.9444,0.9435,0.0004,0.0005,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, Other petroleum gas, Volume, litres,0.9528,0.9519,0.0004,0.0005,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, Other petroleum gas, Volume, litres,0.9561,0.9552,0.0004,0.0005,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, Other petroleum gas, Volume, litres,0.9486,0.9476,0.0004,0.0005,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Propane, Energy - Gross CV, kWh (Gross CV),0.2141,0.2138,0.0002,0.0001,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Propane, Energy - Gross CV, kWh (Gross CV),0.2141,0.2138,0.0002,0.0001,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Propane, Energy - Net CV, kWh (Net CV),0.2326,0.2323,0.0002,0.0001,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Propane, Energy - Net CV, kWh (Net CV),0.2326,0.2323,0.0002,0.0001,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Propane, Tonnes, t,2997.5500,2993.4000,2.3100,1.8500,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Propane, Tonnes, t,2997.5500,2993.4000,2.3100,1.8500,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Propane, Volume, litres,1.5435,1.5414,0.0012,0.0010,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Propane, Volume, litres,1.5435,1.5414,0.0012,0.0010,,,,,,,
DBEIS, 2022, Fuels, Liquid fuels, Aviation spirit, Energy - Gross CV, kWh (Gross CV),0.2438,0.2388,0.0027,0.0023,,,,,,,
DBEIS, 2021, Fuels, Liquid fuels, Aviation spirit, Energy - Gross CV, kWh (Gross CV),0.2438,0.2388,0.0027,0.0023,,,,,,,
DBEIS, 2020, Fuels, Liquid fuels, Aviation spirit, Energy - Gross CV, kWh (Gross CV),0.2451,0.2382,0.0047,0.0023,,,,,,,
DBEIS, 2019, Fuels, Liquid fuels, Aviation spirit, Energy - Gross CV, kWh (Gross CV),0.2446,0.2376,0.0047,0.0023,,,,,,,
DBEIS, 2018, Fuels, Liquid fuels, Aviation spirit, Energy - Gross CV, kWh (Gross CV),0.2441,0.2376,0.0043,0.0023,,,,,,,
DBEIS, 2022, Fuels, Liquid fuels, Aviation spirit, Energy - Net CV, kWh (Net CV),0.2566,0.2514,0.0028,0.0024,,,,,,,
DBEIS, 2021, Fuels, Liquid fuels, Aviation spirit, Energy - Net CV, kWh (Net CV),0.2566,0.2514,0.0028,0.0024,,,,,,,
DBEIS, 2020, Fuels, Liquid fuels, Aviation spirit, Energy - Net CV, kWh (Net CV),0.2581,0.2508,0.0049,0.0024,,,,,,,
DBEIS, 2019, Fuels, Liquid fuels, Aviation spirit, Energy - Net CV, kWh (Net CV),0.2574,0.2501,0.0049,0.0024,,,,,,,
DBEIS, 2018, Fuels, Liquid fuels, Aviation spirit, Energy - Net CV, kWh (Net CV),0.2570,0.2501,0.0045,0.0024,,,,,,,
DBEIS, 2022, Fuels, Liquid fuels, Aviation spirit, Tonnes, t,3192.7600,3127.6700,35.2900,29.8000,,,,,,,
DBEIS, 2021, Fuels, Liquid fuels, Aviation spirit, Tonnes, t,3192.7600,3127.6700,35.2900,29.8000,,,,,,,
DBEIS, 2020, Fuels, Liquid fuels, Aviation spirit, Tonnes, t,3218.6000,3127.6700,61.1300,29.8000,,,,,,,
DBEIS, 2019, Fuels, Liquid fuels, Aviation spirit, Tonnes, t,3218.9200,3127.6700,61.4600,29.8000,,,,,,,
DBEIS, 2018, Fuels, Liquid fuels, Aviation spirit, Tonnes, t,3213.9100,3127.6700,56.4500,29.8000,,,,,,,
DBEIS, 2022, Fuels, Liquid fuels, Aviation spirit, Volume, litres,2.3305,2.2830,0.0258,0.0217,,,,,,,
DBEIS, 2021, Fuels, Liquid fuels, Aviation spirit, Volume, litres,2.3305,2.2830,0.0258,0.0217,,,,,,,
DBEIS, 2020, Fuels, Liquid fuels, Aviation spirit, Volume, litres,2.2908,2.2261,0.0435,0.0212,,,,,,,
DBEIS, 2019, Fuels, Liquid fuels, Aviation spirit, Volume, litres,2.2910,2.2261,0.0437,0.0212,,,,,,,
DBEIS, 2018, Fuels, Liquid fuels, Aviation spirit, Volume, litres,2.2859,2.2245,0.0402,0.0212,,,,,,,
DBEIS, 2022, Fuels, Liquid fuels, Aviation turbine fuel, Energy - Gross CV, kWh (Gross CV),0.2478,0.2454,0.0001,0.0023,,,,,,,
DBEIS, 2021, Fuels, Liquid fuels, Aviation turbine fuel, Energy - Gross CV, kWh (Gross CV),0.2478,0.2454,0.0001,0.0023,,,,,,,
DBEIS, 2020, Fuels, Liquid fuels, Aviation turbine fuel, Energy - Gross CV, kWh (Gross CV),0.2478,0.2454,0.0001,0.0023,,,,,,,
DBEIS, 2019, Fuels, Liquid fuels, Aviation turbine fuel, Energy - Gross CV, kWh (Gross CV),0.2478,0.2453,0.0001,0.0023,,,,,,,
DBEIS, 2018, Fuels, Liquid fuels, Aviation turbine fuel, Energy - Gross CV, kWh (Gross CV),0.2477,0.2452,0.0001,0.0023,,,,,,,
DBEIS, 2022, Fuels, Liquid fuels, Aviation turbine fuel, Energy - Net CV, kWh (Net CV),0.2609,0.2583,0.0002,0.0024,,,,,,,
DBEIS, 2021, Fuels, Liquid fuels, Aviation turbine fuel, Energy - Net CV, kWh (Net CV),0.2609,0.2583,0.0002,0.0024,,,,,,,
DBEIS, 2020, Fuels, Liquid fuels, Aviation turbine fuel, Energy - Net CV, kWh (Net CV),0.2609,0.2583,0.0002,0.0024,,,,,,,
DBEIS, 2019, Fuels, Liquid fuels, Aviation turbine fuel, Energy - Net CV, kWh (Net CV),0.2608,0.2582,0.0002,0.0024,,,,,,,
DBEIS, 2018, Fuels, Liquid fuels, Aviation turbine fuel, Energy - Net CV, kWh (Net CV),0.2607,0.2581,0.0001,0.0024,,,,,,,
DBEIS, 2022, Fuels, Liquid fuels, Aviation turbine fuel, Tonnes, t,3181.4300,3149.6700,1.9600,29.8000,,,,,,,
DBEIS, 2021, Fuels, Liquid fuels, Aviation turbine fuel, Tonnes, t,3181.4300,3149.6700,1.9600,29.8000,,,,,,,
DBEIS, 2020, Fuels, Liquid fuels, Aviation turbine fuel, Tonnes, t,3181.4100,3149.6700,1.9500,29.8000,,,,,,,
DBEIS, 2019, Fuels, Liquid fuels, Aviation turbine fuel, Tonnes, t,3181.3700,3149.6700,1.9100,29.8000,,,,,,,
DBEIS, 2018, Fuels, Liquid fuels, Aviation turbine fuel, Tonnes, t,3181.1500,3149.6700,1.6900,29.8000,,,,,,,
DBEIS, 2022, Fuels, Liquid fuels, Aviation turbine fuel, Volume, litres,2.5451,2.5197,0.0016,0.0238,,,,,,,
DBEIS, 2021, Fuels, Liquid fuels, Aviation turbine fuel, Volume, litres,2.5451,2.5197,0.0016,0.0238,,,,,,,
DBEIS, 2020, Fuels, Liquid fuels, Aviation turbine fuel, Volume, litres,2.5431,2.5177,0.0016,0.0238,,,,,,,
DBEIS, 2019, Fuels, Liquid fuels, Aviation turbine fuel, Volume, litres,2.5431,2.5177,0.0015,0.0238,,,,,,,
DBEIS, 2018, Fuels, Liquid fuels, Aviation turbine fuel, Volume, litres,2.5388,2.5137,0.0014,0.0238,,,,,,,
DBEIS, 2022, Fuels, Liquid fuels, Burning oil, Energy - Gross CV, kWh (Gross CV),0.2468,0.2456,0.0006,0.0006,,,,,,,
DBEIS, 2021, Fuels, Liquid fuels, Burning oil, Energy - Gross CV, kWh (Gross CV),0.2468,0.2456,0.0006,0.0006,,,,,,,
DBEIS, 2020, Fuels, Liquid fuels, Burning oil, Energy - Gross CV, kWh (Gross CV),0.2467,0.2454,0.0006,0.0006,,,,,,,
DBEIS, 2019, Fuels, Liquid fuels, Burning oil, Energy - Gross CV, kWh (Gross CV),0.2468,0.2455,0.0006,0.0006,,,,,,,
DBEIS, 2018, Fuels, Liquid fuels, Burning oil, Energy - Gross CV, kWh (Gross CV),0.2467,0.2454,0.0006,0.0006,,,,,,,
DBEIS, 2022, Fuels, Liquid fuels, Burning oil, Energy - Net CV, kWh (Net CV),0.2598,0.2585,0.0006,0.0006,,,,,,,
DBEIS, 2021, Fuels, Liquid fuels, Burning oil, Energy - Net CV, kWh (Net CV),0.2598,0.2585,0.0006,0.0006,,,,,,,
DBEIS, 2020, Fuels, Liquid fuels, Burning oil, Energy - Net CV, kWh (Net CV),0.2596,0.2584,0.0006,0.0006,,,,,,,
DBEIS, 2019, Fuels, Liquid fuels, Burning oil, Energy - Net CV, kWh (Net CV),0.2597,0.2585,0.0006,0.0006,,,,,,,
DBEIS, 2018, Fuels, Liquid fuels, Burning oil, Energy - Net CV, kWh (Net CV),0.2596,0.2584,0.0006,0.0006,,,,,,,
